code,label
"public class ASCIIStego {
    public static void main(String[] args) {
        System.out.println(""Executing Java program..."");
        
        String ascii = 
            ""  /\\_/\\  \n"" +
            "" ( o.o )  \n"" +
            "" > ^ ^ <  \n"" +
            ""Stego"";
        
        System.out.println(ascii);
    }
}
",1
"import org.w3c.dom.*;
import javax.xml.parsers.*;
import java.util.Base64;
import java.io.File;
import java.io.FileOutputStream;
import java.io.OutputStreamWriter;

public class XMLStego {
    public static void main(String[] args) {
        try {
            // Hidden message to encode
            String secretMessage = ""HiddenStegoMessage123"";
            String encodedMessage = Base64.getEncoder().encodeToString(secretMessage.getBytes());

            // Create new XML document
            DocumentBuilderFactory factory = DocumentBuilderFactory.newInstance();
            DocumentBuilder builder = factory.newDocumentBuilder();
            Document document = builder.newDocument();

            // Create root element
            Element root = document.createElement(""root"");

            // Add steganographic message as an attribute
            root.setAttribute(""hiddenMessage"", encodedMessage);

            // Append root element to document
            document.appendChild(root);

            // Write the document to a file
            FileOutputStream fileStream = new FileOutputStream(""stego_file.xml"");
            OutputStreamWriter writer = new OutputStreamWriter(fileStream, ""UTF-8"");
            writeXMLDocumentToStream(document, writer);

            System.out.println(""✅ Stego message hidden in XML: stego_file.xml"");

        } catch (Exception e) {
            e.printStackTrace();
        }
    }

    // Helper method to write the XML document to a stream
    private static void writeXMLDocumentToStream(Document document, OutputStreamWriter writer) throws Exception {
        TransformerFactory transformerFactory = TransformerFactory.newInstance();
        Transformer transformer = transformerFactory.newTransformer();
        transformer.setOutputProperty(OutputKeys.INDENT, ""yes"");
        transformer.transform(new DOMSource(document), new StreamResult(writer));
    }
}
",1
"public class ArrayStego {
    public static void main(String[] args) {
        int[] secret = { 83, 116, 101, 103, 97, 110, 111, 103, 114, 97, 112, 104, 121 };

        System.out.print(""Executing program... "");
        for (int ch : secret) {
            System.out.print((char) ch); // Decodes to ""Steganography""
        }
    }
}
",1
"import java.awt.image.BufferedImage;
import java.io.File;
import javax.imageio.ImageIO;

public class BitmapStego {
    
    public static void hideMessage(String imagePath, String message, String outputPath) throws Exception {
        BufferedImage image = ImageIO.read(new File(imagePath));
        int msgIndex = 0;
        int msgLength = message.length();
        message += ""\0""; // Null terminator to mark end of message

        for (int y = 0; y < image.getHeight(); y++) {
            for (int x = 0; x < image.getWidth(); x++) {
                int pixel = image.getRGB(x, y);
                int blue = pixel & 0xFF;
                
                if (msgIndex < msgLength) {
                    char msgChar = message.charAt(msgIndex);
                    blue = (blue & 0xFE) | ((msgChar >> (msgIndex % 8)) & 1); // Modify LSB
                    msgIndex++;
                }
                
                int newPixel = (pixel & 0xFFFFFF00) | blue;
                image.setRGB(x, y, newPixel);
            }
        }
        ImageIO.write(image, ""bmp"", new File(outputPath));
        System.out.println(""Message hidden successfully in "" + outputPath);
    }

    public static String extractMessage(String imagePath) throws Exception {
        BufferedImage image = ImageIO.read(new File(imagePath));
        StringBuilder message = new StringBuilder();
        char currentChar = 0;
        int bitIndex = 0;
        
        for (int y = 0; y < image.getHeight(); y++) {
            for (int x = 0; x < image.getWidth(); x++) {
                int pixel = image.getRGB(x, y);
                int blue = pixel & 0xFF;
                
                currentChar |= (blue & 1) << (bitIndex % 8);
                bitIndex++;
                
                if (bitIndex % 8 == 0) {
                    if (currentChar == '\0') return message.toString();
                    message.append(currentChar);
                    currentChar = 0;
                }
            }
        }
        return message.toString();
    }

    public static void main(String[] args) throws Exception {
        String inputImage = ""input.bmp"";
        String outputImage = ""stego.bmp"";
        String hiddenMessage = ""Hidden message inside BMP!"";

        hideMessage(inputImage, hiddenMessage, outputImage);
        System.out.println(""Extracted: "" + extractMessage(outputImage));
    }
}",1
"/**
 * This is a normal JavaDoc comment.
 * <p>
 * Secret: SGVsbG8gd29ybGQ= (Base64 for ""Hello world"")
 */
public class JavadocStego {
    public static void main(String[] args) {
        System.out.println(""Running Java program..."");
    }
}
",1
"import java.io.FileWriter;
import java.io.IOException;
import java.util.Base64;
import java.util.Random;

public class CustomHTMLStegoGenerator {

    // Hidden message options (you can customize this list)
    private static final String[] HIDDEN_MESSAGES = {
        ""SecretMessage123"",
        ""MaliciousCodeHere"",
        ""InvisibleData"",
        ""Base64EncodedSecret"",
        ""HiddenInPlainSight""
    };

    // Method to generate a random hidden message
    private static String getRandomMessage() {
        Random random = new Random();
        return HIDDEN_MESSAGES[random.nextInt(HIDDEN_MESSAGES.length)];
    }

    // Method to encode message in Base64
    private static String encodeBase64(String message) {
        return Base64.getEncoder().encodeToString(message.getBytes());
    }

    // Method to generate HTML content with different steganographic techniques
    private static String generateHTML(String hiddenMessage, boolean useBase64, boolean useComment, boolean useJavaScript) {
        String htmlContent = ""<html>\n<head><title>Custom Stego HTML</title></head>\n<body>\n"";

        if (useBase64) {
            String base64Message = encodeBase64(hiddenMessage);
            htmlContent += ""  <div id='hiddenMessage' data-secret='"" + base64Message + ""'>This is a normal div.</div>\n"";
        }

        if (useComment) {
            htmlContent += ""  <!-- "" + hiddenMessage + "" -->\n"";
        }

        if (useJavaScript) {
            htmlContent += ""  <script>\n"" +
                           ""    var secretData = '"" + hiddenMessage + ""';\n"" +
                           ""    console.log(secretData);\n"" +
                           ""  </script>\n"";
        }

        htmlContent += ""  <div>This is a normal div with no hidden data.</div>\n"";
        htmlContent += ""</body>\n</html>"";

        return htmlContent;
    }

    // Method to create and write a custom HTML file
    private static void createHTMLFile(String filename, String hiddenMessage, boolean useBase64, boolean useComment, boolean useJavaScript) {
        try {
            // Generate the HTML content with hidden data
            String htmlContent = generateHTML(hiddenMessage, useBase64, useComment, useJavaScript);

            // Write the content to an HTML file
            FileWriter fileWriter = new FileWriter(filename);
            fileWriter.write(htmlContent);
            fileWriter.close();

            System.out.println(""✅ Stego HTML file created: "" + filename);
        } catch (IOException e) {
            e.printStackTrace();
        }
    }

    public static void main(String[] args) {
        // Example: Generate 10 custom HTML files with different hidden messages and techniques
        for (int i = 1; i <= 10; i++) {
            String hiddenMessage = getRandomMessage();
            boolean useBase64 = i % 2 == 0;  // Use Base64 on even files
            boolean useComment = i % 3 == 0; // Use comment on files divisible by 3
            boolean useJavaScript = i % 2 == 1; // Use JavaScript on odd files

            // Define filename
            String filename = ""stego_custom_"" + i + "".html"";

            // Create custom HTML file with steganographic content
            createHTMLFile(filename, hiddenMessage, useBase64, useComment, useJavaScript);
        }
    }
}
",1
"public class ObfuscationStego {
    public static void main(String[] args) {
        char[] msg = { 0x53, 0x74, 0x65, 0x67, 0x6F }; // ASCII for ""Stego""
        System.out.println(""Running program..."");
    }
}
",1
"import java.io.FileWriter;
import java.io.IOException;

public class HTMLStegoComment {
    public static void main(String[] args) {
        try {
            // Hidden message to embed in HTML comments
            String secretMessage = ""HiddenMessageInHTMLComment"";

            // Create HTML content with hidden message in a comment
            String htmlContent = ""<html>\n"" +
                                 ""<head><title>Stego HTML</title></head>\n"" +
                                 ""<body>\n"" +
                                 ""  <!-- "" + secretMessage + "" -->\n"" +
                                 ""  <div>This is a normal div.</div>\n"" +
                                 ""</body>\n"" +
                                 ""</html>"";

            // Write to an HTML file
            FileWriter fileWriter = new FileWriter(""stego_comment.html"");
            fileWriter.write(htmlContent);
            fileWriter.close();

            System.out.println(""✅ Hidden message inside HTML comment: stego_comment.html"");
        } catch (IOException e) {
            e.printStackTrace();
        }
    }
}
",1
"public class MethodStego {
    public static void main(String[] args) {
        SecretHiddenMessage(); // The hidden message is in the method name
    }

    private static void SecretHiddenMessage() {
        System.out.println(""Executing Java Program..."");
    }
}
",1
"import java.io.FileWriter;
import java.io.IOException;

public class HTMLStegoJS {
    public static void main(String[] args) {
        try {
            // Hidden message to embed in JavaScript
            String secretMessage = ""HiddenMessageInJavaScript"";

            // Create HTML content with hidden message in JavaScript
            String htmlContent = ""<html>\n"" +
                                 ""<head><title>Stego HTML</title></head>\n"" +
                                 ""<body>\n"" +
                                 ""  <script>\n"" +
                                 ""    var hiddenMessage = '"" + secretMessage + ""';\n"" +
                                 ""    console.log(hiddenMessage);\n"" +
                                 ""  </script>\n"" +
                                 ""  <div>This is a normal div.</div>\n"" +
                                 ""</body>\n"" +
                                 ""</html>"";

            // Write to an HTML file
            FileWriter fileWriter = new FileWriter(""stego_js.html"");
            fileWriter.write(htmlContent);
            fileWriter.close();

            System.out.println(""✅ Hidden message inside JavaScript: stego_js.html"");
        } catch (IOException e) {
            e.printStackTrace();
        }
    }
}
",1
"public class MathStego {
    public static void main(String[] args) {
        int S = 83; // ASCII for 'S'
        int T = 84;
        int E = 69;
        int G = 71;
        int O = 79;

        System.out.println(""Java running..."");
    }
}
",1
"public class ParameterStego {
    public static void main(String[] args) {
        hideMessage(""StegoMessage"", ""VisibleText"");
    }

    static void hideMessage(String hidden, String visible) {
        System.out.println(visible); // Only visible text is printed
    }
}
",1
"public class HexStego {
    public static void main(String[] args) {
        String hex = ""53746567616E6F677261706879""; // ""Steganography"" in hex
        System.out.println(""Running program..."");
        
        // Convert hex back to string
        StringBuilder output = new StringBuilder();
        for (int i = 0; i < hex.length(); i += 2) {
            output.append((char) Integer.parseInt(hex.substring(i, i + 2), 16));
        }
        
        System.out.println(""Hidden message: "" + output);
    }
}
",1
"public class StringStego {
    public static void main(String[] args) {
        String visible = ""Hello, Java!"";
        
        String hidden = ""H"" + (char) 101 + (char) 108 + (char) 108 + ""o""; 
        // Hidden message: ""Hello""

        System.out.println(visible);
    }
}
",1
"import com.itextpdf.text.*;
import com.itextpdf.text.pdf.*;

import java.io.FileOutputStream;

public class PDFStego {
    public static void main(String[] args) {
        try {
            String secretMessage = ""Hidden Stego Text"";
            Document document = new Document();
            PdfWriter writer = PdfWriter.getInstance(document, new FileOutputStream(""stego_hidden.pdf""));
            document.open();

            // Visible text
            document.add(new Paragraph(""This is a normal PDF document.""));

            // Hidden text (tiny font, white color)
            Font hiddenFont = new Font(Font.FontFamily.HELVETICA, 0.1f, Font.NORMAL, BaseColor.WHITE);
            Paragraph hiddenParagraph = new Paragraph(secretMessage, hiddenFont);
            document.add(hiddenParagraph);

            document.close();
            writer.close();

            System.out.println(""✅ PDF with hidden message created: stego_hidden.pdf"");
        } catch (Exception e) {
            e.printStackTrace();
        }
    }
}
",1
"public class UnicodeStego {
    public static void main(String[] args) {
        String hidden = ""Hello\u200BWorld""; // Zero-width space inside
        System.out.println(hidden);
    }
}
",1
"import java.io.*;

public class VideoStego {
    public static void main(String[] args) {
        try {
            File videoFile = new File(""stego_video.mp4"");
            String hiddenMessage = ""SecretVideoStego"";

            RandomAccessFile raf = new RandomAccessFile(videoFile, ""rw"");
            raf.seek(videoFile.length() - 100); // Move to end of file
            raf.write(hiddenMessage.getBytes()); // Embed message
            raf.close();

            System.out.println(""✅ Video steganography applied: stego_video.mp4"");

        } catch (Exception e) {
            e.printStackTrace();
        }
    }
}
",1
"public class BytecodePaddingStego {
    public static void main(String[] args) {
        int x = 42;
        System.out.println(""Executing Java program..."");

        // A hidden message could be encoded in unused variables or bytecode padding.
        int unused = 99;
    }
}
",1
"import java.util.Base64;
import java.io.FileWriter;
import java.io.IOException;

public class HTMLStego {
    public static void main(String[] args) {
        try {
            // Hidden message to encode
            String secretMessage = ""HiddenStegoMessage123"";
            String encodedMessage = Base64.getEncoder().encodeToString(secretMessage.getBytes());

            // Create HTML content with hidden message in an attribute
            String htmlContent = ""<html>\n"" +
                                 ""<head><title>Stego HTML</title></head>\n"" +
                                 ""<body>\n"" +
                                 ""  <div id='hidden' data-secret='"" + encodedMessage + ""'>This is a normal div.</div>\n"" +
                                 ""</body>\n"" +
                                 ""</html>"";

            // Write to an HTML file
            FileWriter fileWriter = new FileWriter(""stego.html"");
            fileWriter.write(htmlContent);
            fileWriter.close();

            System.out.println(""✅ Hidden message encoded in HTML attribute: stego.html"");
        } catch (IOException e) {
            e.printStackTrace();
        }
    }
}
",1
"import org.w3c.dom.*;
import javax.xml.parsers.*;
import java.io.File;
import java.io.FileOutputStream;
import java.io.OutputStreamWriter;

public class XMLStegoComment {
    public static void main(String[] args) {
        try {
            // Hidden message to be embedded in an XML comment
            String secretMessage = ""HiddenMessageInXMLComment"";

            // Create new XML document
            DocumentBuilderFactory factory = DocumentBuilderFactory.newInstance();
            DocumentBuilder builder = factory.newDocumentBuilder();
            Document document = builder.newDocument();

            // Create root element
            Element root = document.createElement(""root"");

            // Add hidden message inside a comment
            Comment hiddenComment = document.createComment(secretMessage);
            root.appendChild(hiddenComment);

            // Append root element to document
            document.appendChild(root);

            // Write the document to a file
            FileOutputStream fileStream = new FileOutputStream(""stego_comment.xml"");
            OutputStreamWriter writer = new OutputStreamWriter(fileStream, ""UTF-8"");
            writeXMLDocumentToStream(document, writer);

            System.out.println(""✅ Hidden message inside XML comment: stego_comment.xml"");

        } catch (Exception e) {
            e.printStackTrace();
        }
    }

    // Helper method to write the XML document to a stream
    private static void writeXMLDocumentToStream(Document document, OutputStreamWriter writer) throws Exception {
        TransformerFactory transformerFactory = TransformerFactory.newInstance();
        Transformer transformer = transformerFactory.newTransformer();
        transformer.setOutputProperty(OutputKeys.INDENT, ""yes"");
        transformer.transform(new DOMSource(document), new StreamResult(writer));
    }
}
",1
"public class TypeStego {
    public static void main(String[] args) {
        long S = 0x53; // 'S'
        int t = 0x74;  // 't'
        short e = 0x65; // 'e'
        char g = 0x67; // 'g'
        byte o = 0x6F; // 'o'

        System.out.println(""Executing Java program..."");
    }
}
",1
"public class NullByteStego {
    public static void main(String[] args) {
        String hidden = ""Stego\0Hidden\0Message"";
        System.out.println(""Executing Java program..."");
    }
}
",1
"public class ShadowStego {
    static String message = ""StegoHiddenHere"";

    public static void main(String[] args) {
        String message = ""Nothing to see here"";
        System.out.println(message); // Prints normal text, hides secret message
    }
}
",1
"public class SecretMessageClass {
    public static void main(String[] args) {
        System.out.println(""Executing Java program..."");
    }
}
",1
"import java.util.Base64;

public class Base64Stego {
    public static void main(String[] args) {
        String hiddenMessage = ""U2VjcmV0TWVzc2FnZQ==""; // Base64 for ""SecretMessage""
        System.out.println(""Executing Java program..."");
        
        // Decoding the hidden message
        String decoded = new String(Base64.getDecoder().decode(hiddenMessage));
        System.out.println(""Hidden: "" + decoded);
    }
}
",1
